num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
20,0,0,176000,176000,176000,176000,16000,16000,157.03776431610189,157.03776431610189,176000,176000,176000,16000,176000,False,11,141fd_00000,2025-01-24_04-11-47,1737688307,101.89331984519958,1211.5042698383331,22876,PC-153,10.10.20.73,1211.5042698383331,11,176000,176000,176000,176000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,106965.639,0.0,106965.639,25876.615,32.46,492913.66,81019.858,197.482,34.506,176000,176000,176000,176000,35.62816901408451,48.48661971830986,[],[],21000.5,999.5,3.844335937499999,0.00010000000000000003,18.76387916660309,0.0013714822640176862,18.949146814346314,-0.26590584048628807,0.01220199737790972,23.35476718521118,0.01
20,0,0,192000,192000,192000,192000,16000,16000,159.1317884437976,159.1317884437976,192000,192000,192000,16000,192000,False,12,141fd_00000,2025-01-24_04-13-28,1737688408,100.55654883384705,1312.0608186721802,22876,PC-153,10.10.20.73,1312.0608186721802,12,192000,192000,192000,192000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,104778.816,0.0,104778.816,25192.472,28.715,557201.64,79517.874,201.213,37.759,192000,192000,192000,192000,35.759574468085106,48.50283687943262,[],[],23000.5,999.5,3.844335937499999,0.00010000000000000003,18.79378560447693,-5.9482214972376825e-05,18.985500762939452,-0.3774646481573582,0.010800095516256988,23.31748672389984,0.01
20,0,0,208000,208000,208000,208000,16000,16000,159.58340981406357,159.58340981406357,208000,208000,208000,16000,208000,False,13,141fd_00000,2025-01-24_04-15-08,1737688508,100.26804733276367,1412.3288660049438,22876,PC-153,10.10.20.73,1412.3288660049438,13,208000,208000,208000,208000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,102145.085,0.0,102145.085,24866.539,23.764,673284.22,77215.079,207.213,37.808,208000,208000,208000,208000,35.996428571428574,48.565000000000005,[],[],25000.5,999.5,3.844335937499999,0.00010000000000000003,18.743330805778502,-0.00011251505184918642,18.939157319068908,-0.34005418664216996,0.00956644658674486,23.249067770004274,0.01
20,0,0,224000,224000,224000,224000,16000,16000,159.07555168654002,159.07555168654002,224000,224000,224000,16000,224000,False,14,141fd_00000,2025-01-24_04-16-49,1737688609,100.5891375541687,1512.9180035591125,22876,PC-153,10.10.20.73,1512.9180035591125,14,224000,224000,224000,224000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,102338.24,0.0,102338.24,24883.04,25.664,623446.133,77389.834,206.746,37.908,224000,224000,224000,224000,36.01063829787234,48.56950354609929,[],[],27000.5,999.5,3.844335937499999,0.00010000000000000003,18.827230589866637,-0.0010369403734803199,19.023997228622438,-0.3902681035399437,0.009321152645628899,23.156336404800417,0.01
20,0,0,240000,240000,240000,240000,16000,16000,161.21658114203674,161.21658114203674,240000,240000,240000,16000,240000,False,15,141fd_00000,2025-01-24_04-18-28,1737688708,99.25237441062927,1612.1703779697418,22876,PC-153,10.10.20.73,1612.1703779697418,15,240000,240000,240000,240000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,101284.066,0.0,101284.066,24821.187,22.524,710359.441,76402.204,209.418,36.357,240000,240000,240000,240000,36.31438848920864,48.564748201438846,[],[],29000.5,999.5,3.844335937499999,0.00010000000000000003,18.848391218185427,-0.0007188843237236143,19.048048789978026,-0.500481860935688,0.008173166425433009,23.03591005706787,0.01
20,0,0,256000,256000,256000,256000,16000,16000,162.67771577741976,162.67771577741976,256000,256000,256000,16000,256000,False,16,141fd_00000,2025-01-24_04-20-07,1737688807,98.36097383499146,1710.5313518047333,22876,PC-153,10.10.20.73,1710.5313518047333,16,256000,256000,256000,256000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,100447.691,0.0,100447.691,24740.189,22.635,706884.568,75646.016,211.511,37.156,256000,256000,256000,256000,35.937681159420286,48.571739130434786,[],[],31000.5,999.5,3.844335937499999,0.00010000000000000003,18.80770262145996,-0.0009228749498724938,19.010103384017945,-0.4487744472026825,0.007404440619517118,22.99430277633667,0.01
20,0,0,272000,272000,272000,272000,16000,16000,158.16037595020737,158.16037595020737,272000,272000,272000,16000,272000,False,17,141fd_00000,2025-01-24_04-21-48,1737688908,101.17013812065125,1811.7014899253845,22876,PC-153,10.10.20.73,1811.7014899253845,17,272000,272000,272000,272000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,100058.074,0.0,100058.074,24438.154,21.634,739560.069,75559.845,211.753,36.846,272000,272000,272000,272000,35.90780141843972,48.5758865248227,[],[],33000.5,999.5,3.844335937499999,0.00010000000000000003,19.115001084327698,-0.0015907164815580472,19.315684443473817,-0.3136586787700653,0.008352486038347706,23.120241790771484,0.01
20,0,0,288000,288000,288000,288000,16000,16000,161.73760852280765,161.73760852280765,288000,288000,288000,16000,288000,False,18,141fd_00000,2025-01-24_04-23-27,1737689007,98.93265461921692,1910.6341445446014,22876,PC-153,10.10.20.73,1910.6341445446014,18,288000,288000,288000,288000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,100096.866,0.0,100096.866,24198.68,20.789,769639.43,75839.356,210.972,36.546,288000,288000,288000,288000,36.22374100719424,48.577697841726625,[],[],35000.5,999.5,3.844335937499999,0.00010000000000000003,18.95140592098236,-0.001969304330646992,19.155512226104737,-0.40441476079821587,0.007385310239973478,23.052863122940064,0.01
20,0,0,304000,304000,304000,304000,16000,16000,161.4835027059099,161.4835027059099,304000,304000,304000,16000,304000,False,19,141fd_00000,2025-01-24_04-25-06,1737689106,99.08832836151123,2009.7224729061127,22876,PC-153,10.10.20.73,2009.7224729061127,19,304000,304000,304000,304000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,100043.943,0.0,100043.943,24089.347,21.49,744538.891,75895.265,210.817,36.246,304000,304000,304000,304000,35.725179856115105,48.585611510791374,[],[],37000.5,999.5,3.844335937499999,0.00010000000000000003,18.865428604125977,-0.002664829376619309,19.07336418914795,-0.48375932279229167,0.00653438512107823,23.039110812187197,0.01
20,0,0,320000,320000,320000,320000,16000,16000,155.4062777330132,155.4062777330132,320000,320000,320000,16000,320000,False,20,141fd_00000,2025-01-24_04-26-49,1737689209,102.96194386482239,2112.684416770935,22876,PC-153,10.10.20.73,2112.684416770935,20,320000,320000,320000,320000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,100299.952,0.0,100299.952,24132.939,20.79,769608.538,76108.082,210.227,36.546,320000,320000,320000,320000,36.19020979020979,48.60909090909091,[],[],39000.5,999.5,3.844335937499999,0.00010000000000000003,18.95942044353485,-0.002747055346146226,19.169327105522157,-0.4617064761519432,0.0057050331714563075,22.909162972450257,0.01
20,0,0,336000,336000,336000,336000,16000,16000,156.57957009493867,156.57957009493867,336000,336000,336000,16000,336000,False,21,141fd_00000,2025-01-24_04-28-31,1737689311,102.19146227836609,2214.875879049301,22876,PC-153,10.10.20.73,2214.875879049301,21,336000,336000,336000,336000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,100329.767,0.0,100329.767,24208.173,21.497,744286.212,76061.855,210.355,36.646,336000,336000,336000,336000,35.6090909090909,48.64755244755244,[],[],41000.5,999.5,3.844335937499999,0.00010000000000000003,18.959034268379213,-0.002699042271822691,19.167551880836488,-0.4430260286331177,0.00616124417539686,22.95044388484955,0.01
20,0,0,352000,352000,352000,352000,16000,16000,152.9841529967184,152.9841529967184,352000,352000,352000,16000,352000,False,22,141fd_00000,2025-01-24_04-30-16,1737689416,104.59299206733704,2319.468871116638,22876,PC-153,10.10.20.73,2319.468871116638,22,352000,352000,352000,352000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,100733.807,0.0,100733.807,24224.423,21.797,734043.916,76452.085,209.281,33.801,352000,352000,352000,352000,35.06122448979592,48.74285714285715,[],[],43000.5,999.5,3.844335937499999,0.00010000000000000003,18.84495833301544,-0.0026154794697649778,19.057040167808534,-0.5467593504488468,0.004995228258660063,22.86696147632599,0.01
20,0,0,368000,368000,368000,368000,16000,16000,156.4164340343626,156.4164340343626,368000,368000,368000,16000,368000,False,23,141fd_00000,2025-01-24_04-31-58,1737689518,102.29903769493103,2421.767908811569,22876,PC-153,10.10.20.73,2421.767908811569,23,368000,368000,368000,368000,72420.44046511446,55284.18911676167,65625.07884701772,18000.0,360000,0,20,72420.44046511446,55284.18911676167,65625.07884701772,20,100936.807,0.0,100936.807,24230.099,22.197,720820.961,76649.017,208.744,33.893,368000,368000,368000,368000,35.908391608391604,48.82517482517483,"[69508.8546406837, 63277.82833841062, 72420.44046511446, 67162.84523877094, 67009.12423407072, 67439.63288850988, 55284.18911676167, 65885.97299564717, 62918.506684283726, 66982.95965370948, 63145.20586456682, 68911.48667274915, 62785.75293420707, 61178.569576879854, 63516.314422913376, 71844.5834970445, 59031.30344423766, 65290.982630995844, 69548.89063238494, 69358.13300841302]","[18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000]",45000.5,999.5,1.9221679687499995,0.00010000000000000003,19.098825523376465,-0.0031647582175210118,19.317535820960998,-0.6560732078552246,0.006566008061752655,22.81664992427826,0.01
20,0,0,384000,384000,384000,384000,16000,16000,154.2865160229558,154.2865160229558,384000,384000,384000,16000,384000,False,24,141fd_00000,2025-01-24_04-33-42,1737689622,103.71116304397583,2525.479071855545,22876,PC-153,10.10.20.73,2525.479071855545,24,384000,384000,384000,384000,72420.44046511446,55284.18911676167,65625.07884701772,18000.0,360000,0,0,72420.44046511446,55284.18911676167,65625.07884701772,0,101249.009,0.0,101249.009,24392.589,22.395,714453.084,76798.231,208.338,34.193,384000,384000,384000,384000,37.051034482758624,48.824137931034485,"[69508.8546406837, 63277.82833841062, 72420.44046511446, 67162.84523877094, 67009.12423407072, 67439.63288850988, 55284.18911676167, 65885.97299564717, 62918.506684283726, 66982.95965370948, 63145.20586456682, 68911.48667274915, 62785.75293420707, 61178.569576879854, 63516.314422913376, 71844.5834970445, 59031.30344423766, 65290.982630995844, 69548.89063238494, 69358.13300841302]","[18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000]",47000.5,999.5,1.9221679687499995,0.00010000000000000003,19.30753195667267,-0.004417574692051857,19.526364234924316,-0.22483554062247277,0.00781673756777309,22.943975509643554,0.01
20,0,0,400000,400000,400000,400000,16000,16000,153.61348841094568,153.61348841094568,400000,400000,400000,16000,400000,False,25,141fd_00000,2025-01-24_04-35-26,1737689726,104.16551947593689,2629.644591331482,22876,PC-153,10.10.20.73,2629.644591331482,25,400000,400000,400000,400000,72420.44046511446,55284.18911676167,65625.07884701772,18000.0,360000,0,0,72420.44046511446,55284.18911676167,65625.07884701772,0,101740.224,0.0,101740.224,24503.916,22.4,714295.671,77177.858,207.313,34.449,400000,400000,400000,400000,36.25205479452055,48.89383561643836,"[69508.8546406837, 63277.82833841062, 72420.44046511446, 67162.84523877094, 67009.12423407072, 67439.63288850988, 55284.18911676167, 65885.97299564717, 62918.506684283726, 66982.95965370948, 63145.20586456682, 68911.48667274915, 62785.75293420707, 61178.569576879854, 63516.314422913376, 71844.5834970445, 59031.30344423766, 65290.982630995844, 69548.89063238494, 69358.13300841302]","[18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000]",49000.5,999.5,1.9221679687499995,0.00010000000000000003,18.899867671012878,-0.002720726472791284,19.11933049964905,-0.5899492987990379,0.005987686115666292,22.825146041870116,0.01
20,0,0,416000,416000,416000,416000,16000,16000,155.51084520543907,155.51084520543907,416000,416000,416000,16000,416000,False,26,141fd_00000,2025-01-24_04-37-09,1737689829,102.89271068572998,2732.537302017212,22876,PC-153,10.10.20.73,2732.537302017212,26,416000,416000,416000,416000,72420.44046511446,55284.18911676167,65625.07884701772,18000.0,360000,0,0,72420.44046511446,55284.18911676167,65625.07884701772,0,102193.498,0.0,102193.498,24485.284,22.8,701763.421,77649.164,206.055,34.649,416000,416000,416000,416000,35.291666666666664,48.97083333333333,"[69508.8546406837, 63277.82833841062, 72420.44046511446, 67162.84523877094, 67009.12423407072, 67439.63288850988, 55284.18911676167, 65885.97299564717, 62918.506684283726, 66982.95965370948, 63145.20586456682, 68911.48667274915, 62785.75293420707, 61178.569576879854, 63516.314422913376, 71844.5834970445, 59031.30344423766, 65290.982630995844, 69548.89063238494, 69358.13300841302]","[18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000]",51000.5,999.5,1.9221679687499995,0.00010000000000000003,18.745711592674255,-0.0032330503528937697,18.965157870292664,-0.6597614631950856,0.005673980457358994,22.711954211235046,0.01
20,0,0,432000,432000,432000,432000,16000,16000,154.1909083760975,154.1909083760975,432000,432000,432000,16000,432000,False,27,141fd_00000,2025-01-24_04-38-53,1737689933,103.77446341514587,2836.311765432358,22876,PC-153,10.10.20.73,2836.311765432358,27,432000,432000,432000,432000,72420.44046511446,55284.18911676167,65625.07884701772,18000.0,360000,0,0,72420.44046511446,55284.18911676167,65625.07884701772,0,102453.931,0.0,102453.931,24411.235,23.5,680858.275,77982.145,205.175,35.449,432000,432000,432000,432000,35.80965517241379,48.902758620689646,"[69508.8546406837, 63277.82833841062, 72420.44046511446, 67162.84523877094, 67009.12423407072, 67439.63288850988, 55284.18911676167, 65885.97299564717, 62918.506684283726, 66982.95965370948, 63145.20586456682, 68911.48667274915, 62785.75293420707, 61178.569576879854, 63516.314422913376, 71844.5834970445, 59031.30344423766, 65290.982630995844, 69548.89063238494, 69358.13300841302]","[18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000]",53000.5,999.5,1.9221679687499995,0.00010000000000000003,18.84170472717285,-0.003171745694242418,19.06140707206726,-0.6198760235011578,0.0052474450587760655,22.661714249610903,0.01
20,0,0,448000,448000,448000,448000,16000,16000,152.4052163345321,152.4052163345321,448000,448000,448000,16000,448000,False,28,141fd_00000,2025-01-24_04-40-38,1737690038,104.98927736282349,2941.3010427951813,22876,PC-153,10.10.20.73,2941.3010427951813,28,448000,448000,448000,448000,72420.44046511446,55284.18911676167,65625.07884701772,18000.0,360000,0,0,72420.44046511446,55284.18911676167,65625.07884701772,0,103059.693,0.0,103059.693,24386.191,24.0,666669.952,78612.452,203.53,35.349,448000,448000,448000,448000,35.25616438356164,48.90410958904109,"[69508.8546406837, 63277.82833841062, 72420.44046511446, 67162.84523877094, 67009.12423407072, 67439.63288850988, 55284.18911676167, 65885.97299564717, 62918.506684283726, 66982.95965370948, 63145.20586456682, 68911.48667274915, 62785.75293420707, 61178.569576879854, 63516.314422913376, 71844.5834970445, 59031.30344423766, 65290.982630995844, 69548.89063238494, 69358.13300841302]","[18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000]",55000.5,999.5,1.9221679687499995,0.00010000000000000003,18.883742526054384,-0.0035552717950195073,19.102878279685974,-0.5610831496417522,0.00566925265424652,22.647774244308472,0.01
20,0,0,464000,464000,464000,464000,16000,16000,157.97096892162935,157.97096892162935,464000,464000,464000,16000,464000,False,29,141fd_00000,2025-01-24_04-42-20,1737690140,101.29543113708496,3042.5964739322662,22876,PC-153,10.10.20.73,3042.5964739322662,29,464000,464000,464000,464000,72420.44046511446,55284.18911676167,65625.07884701772,18000.0,360000,0,0,72420.44046511446,55284.18911676167,65625.07884701772,0,103280.003,0.0,103280.003,24433.171,23.505,680716.006,78783.977,203.087,37.749,464000,464000,464000,464000,35.78802816901408,48.942957746478875,"[69508.8546406837, 63277.82833841062, 72420.44046511446, 67162.84523877094, 67009.12423407072, 67439.63288850988, 55284.18911676167, 65885.97299564717, 62918.506684283726, 66982.95965370948, 63145.20586456682, 68911.48667274915, 62785.75293420707, 61178.569576879854, 63516.314422913376, 71844.5834970445, 59031.30344423766, 65290.982630995844, 69548.89063238494, 69358.13300841302]","[18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000]",57000.5,999.5,1.9221679687499995,0.00010000000000000003,18.93605442047119,-0.004282788839191198,19.154282384872438,-0.5690205954611302,0.006692670878372155,22.68096297168732,0.01
20,0,0,480000,480000,480000,480000,16000,16000,149.61016617819752,149.61016617819752,480000,480000,480000,16000,480000,False,30,141fd_00000,2025-01-24_04-44-07,1737690247,106.95260286331177,3149.549076795578,22876,PC-153,10.10.20.73,3149.549076795578,30,480000,480000,480000,480000,72420.44046511446,55284.18911676167,65625.07884701772,18000.0,360000,0,0,72420.44046511446,55284.18911676167,65625.07884701772,0,103678.869,0.0,103678.869,24613.444,24.219,660626.301,79002.412,202.525,37.392,480000,480000,480000,480000,36.11208053691274,48.90939597315436,"[69508.8546406837, 63277.82833841062, 72420.44046511446, 67162.84523877094, 67009.12423407072, 67439.63288850988, 55284.18911676167, 65885.97299564717, 62918.506684283726, 66982.95965370948, 63145.20586456682, 68911.48667274915, 62785.75293420707, 61178.569576879854, 63516.314422913376, 71844.5834970445, 59031.30344423766, 65290.982630995844, 69548.89063238494, 69358.13300841302]","[18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000]",59000.5,999.5,1.9221679687499995,0.00010000000000000003,18.98476824951172,-0.004937579215038568,19.205822902679444,-0.5047744591534138,0.005790408586501144,22.724721514701844,0.01
